NEIGHBORID,Pet,Pet_tag,StoreCard,No_transaction,LTD,FTD,Net_Amount,No_transaction_last_sixmonth,Tenure_days,Avg_diff_btw_trans,Recency,Tenure_FTD_days,Avg_no_transaction_sixmonth,No_Coupon_Trans,LTV_margin,marketinghomestoreid,Percent_change_tenure,Segment
3259159,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,82,2018-01-13,2015-09-06,2556.85,16,860,10.4878,10,870,16.96552,11,822.62399,190,-5.69106,A1
3265736,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,64,2018-01-11,2015-07-26,3484.7,19,900,14.0625,12,912,12.63158,6,1148.07745,9049,50.41667,A1
3384253,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,99,2018-01-10,2016-03-04,2495.05,31,677,6.83838,13,690,25.82609,0,1085.431,3,20.03367,A1
3398942,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,36,2018-01-04,2015-09-16,1717.75,19,841,23.36111,19,860,7.53488,0,671.07,51,152.16049,A1
3439812,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,92,2017-12-29,2015-08-04,1967.68,23,878,9.54348,25,903,18.33887,5,856.6035,27,25.41667,A1
4993310,"Cat,Dog,Reptile,Wild Bird",4,False,65,2018-01-03,2015-08-21,2644.8,20,866,13.32308,20,886,13.20542,5,1017.6287,60,51.45299,A1
5032516,"Bird,Cat,Dog,Small Animal",4,False,96,2018-01-07,2015-08-03,9214.28,36,888,9.25,16,904,19.11504,25,3473.72624,8031,88.33333,A1
5146791,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,37,2018-01-10,2017-02-17,1278.43,19,327,8.83784,13,340,19.58824,1,533.6992,105,-3.003,A1
5181311,"Cat,Dog,Small Animal,Wild Bird",4,False,138,2018-01-02,2015-07-26,7225.67,28,891,6.45652,21,912,27.23684,31,2042.7106,53,2.80193,A1
5197087,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,258,2018-01-11,2015-07-30,6219.94,41,896,3.47287,12,908,51.14537,32,1903.98798,19,-19.83635,A1
5253883,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,72,2018-01-09,2015-07-27,3418.84,22,897,12.45833,14,911,14.22613,30,1034.57898,9028,54.64506,A1
5358391,"Cat,Dog,Small Animal,Wild Bird",4,False,57,2018-01-13,2015-07-31,4954.06,16,897,15.73684,10,907,11.31202,1,1869.7443,9031,41.4425,A1
537940,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,34,2018-01-11,2015-08-02,600.25,25,893,26.26471,12,905,6.76243,1,303.7883,112,269.68954,A2
5387872,"Cat,Dog,Fish,Wild Bird",4,False,75,2018-01-09,2015-08-01,7457.38,16,892,11.89333,14,906,14.90066,4,2612.6647,9005,7.37778,A1
3596052,"Cat,Dog,Fish,Wild Bird",4,False,69,2018-01-12,2015-07-31,3638.56,19,896,12.98551,11,907,13.6935,46,386.559,38,38.75201,A2
3598188,"Bird,Cat,Dog,Fish,Small Animal",4,False,104,2018-01-06,2015-08-01,3098.35,23,889,8.54808,17,906,20.66225,10,1266.78838,171,11.3141,A1
3601847,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,89,2018-01-03,2015-07-30,1650.77,18,888,9.97753,20,908,17.64317,0,419.13841,24,2.02247,A2
3626633,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,37,2018-01-06,2015-08-06,1461.06,16,884,23.89189,17,901,7.39179,2,721.727,167,116.45646,A1
3732392,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,87,2018-01-13,2015-07-27,4964.79,18,901,10.35632,10,911,17.1899,4,1262.3054,8031,4.71264,A1
374936,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,43,2017-12-28,2016-08-07,869.88,16,508,11.81395,26,534,14.49438,3,300.77,4074,10.3876,A2
3775184,"Bird,Cat,Dog,Fish,Wild Bird",4,False,97,2018-01-13,2015-07-27,1434.53,17,901,9.28866,10,911,19.16575,0,290.8178,13,-11.30011,A2
3791129,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,107,2017-12-31,2015-08-19,3044.88,27,865,8.08411,23,888,21.68919,20,862.3929,86,24.48598,A1
3810413,"Cat,Dog,Fish,Wild Bird",4,False,67,2018-01-13,2015-07-30,2800.36,24,898,13.40299,10,908,13.28194,1,863.8354,141,80.69652,A1
3842368,"Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,137,2018-01-13,2015-08-01,6509.89,29,896,6.54015,10,906,27.21854,39,634.1484,97,6.54501,A2
3852632,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,61,2018-01-13,2015-11-16,1449.63,21,789,12.93443,10,799,13.74218,6,713.1942,120,52.81421,A1
3868765,"Bird,Cat,Dog,Fish",4,False,65,2017-12-29,2015-07-30,1093.25,26,883,13.58462,25,908,12.88546,2,310.1053,205,101.77778,A2
1021561,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,88,2018-01-13,2015-08-20,1520.61,46,877,9.96591,10,887,17.85795,6,723.58199,53,157.58838,A1
702108,"Cat,Dog,Fish,Wild Bird",4,False,55,2017-12-27,2015-07-31,2034.39,21,880,16.0,27,907,10.9151,10,672.0251,117,92.39394,A1
1115999,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,102,2018-01-01,2015-07-26,2422.55,16,890,8.72549,22,912,20.13158,1,1169.18698,228,-20.52288,A1
1161037,"Cat,Dog,Fish,Wild Bird",4,False,91,2018-01-01,2015-07-27,3062.12,18,889,9.76923,22,911,17.98024,15,1059.66726,8015,0.10989,A1
5407324,"Cat,Dog,Fish,Wild Bird",4,False,193,2018-01-04,2015-07-28,5515.5,23,891,4.61658,19,910,38.17582,14,1714.99326,52,-39.75245,A1
5478935,"Bird,Cat,Dog,Wild Bird",4,False,107,2018-01-12,2015-08-01,2776.8,26,895,8.36449,11,906,21.25828,0,1393.1907,7006,22.3053,A1
5499672,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,48,2018-01-05,2015-08-01,1244.37,16,888,18.5,18,906,9.53642,8,358.91324,112,67.77778,A2
552342,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,121,2018-01-10,2015-07-26,5432.02,23,899,7.42975,13,912,23.88158,6,1809.6749,86,-3.69146,A1
5527106,"Cat,Wild Bird",5,False,72,2018-01-13,2015-07-30,1471.55,24,898,12.47222,10,908,14.27313,0,514.2084,90,68.14815,A2
5545677,"Cat,Dog,Fish,Wild Bird",4,False,54,2018-01-11,2015-08-06,2133.54,18,889,16.46296,12,901,10.78801,10,691.2914,23,66.85185,A1
5596106,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,100,2018-01-11,2015-07-29,4925.34,21,897,8.97,12,909,19.80198,16,2132.65028,38,6.05,A1
3922430,"Bird,Cat,Dog,Reptile",4,False,146,2018-01-12,2015-08-11,4019.06,34,885,6.06164,11,896,29.33036,25,504.11695,9012,15.92085,A2
3966098,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,69,2018-01-10,2015-07-31,1415.97,21,894,12.95652,13,907,13.6935,5,346.59233,90,53.35749,A2
397263,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,111,2018-01-10,2015-07-29,4949.01,25,896,8.07207,13,909,21.9802,46,1246.9549,51,13.73874,A1
3982645,"Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,83,2018-01-02,2015-11-15,2195.04,18,779,9.38554,21,800,18.675,17,656.0,9048,-3.61446,A1
4048426,"Bird,Cat,Dog,Wild Bird",4,False,102,2018-01-13,2015-07-28,5968.68,16,900,8.82353,10,910,20.17582,12,1401.89883,9006,-20.69717,A1
2450326,"Bird,Cat,Dog,Wild Bird",4,False,147,2018-01-12,2015-08-02,6232.01,31,894,6.08163,11,905,29.23757,22,2191.97352,4111,6.02797,A1
2461410,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,128,2018-01-04,2015-08-05,2782.67,38,883,6.89844,19,902,25.54324,13,1168.24389,4085,48.76736,A1
2467265,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,51,2018-01-09,2016-01-16,1292.09,36,724,14.19608,14,738,12.43902,10,416.21373,201,189.41176,A2
2476930,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,59,2018-01-11,2015-07-27,4576.59,27,899,15.23729,12,911,11.65752,3,2627.5283,9005,131.61017,A1
2544181,"Bird,Cat,Dog,Reptile,Small Animal",4,False,40,2017-12-30,2016-11-08,1115.63,17,417,10.425,24,441,16.32653,5,428.57,4065,4.125,A1
2561999,"Dog,Fish,Reptile,Small Animal",5,False,54,2018-01-08,2015-08-01,1102.87,17,891,16.5,15,906,10.72848,8,469.37,20,58.45679,A2
2566343,"Cat,Dog,Small Animal,Wild Bird",4,False,113,2018-01-09,2015-07-26,2811.84,19,898,7.9469,14,912,22.30263,0,1021.58059,60,-14.80826,A1
7091911,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,77,2018-01-12,2016-06-07,1989.44,33,584,7.58442,11,595,23.29412,44,359.48387,4021,41.66667,A2
7108889,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,31,2017-12-20,2017-02-13,982.55,25,310,10.0,34,344,16.22093,2,504.551,9056,54.12186,A1
7127481,"Bird,Dog,Fish,Wild Bird",5,False,115,2018-01-08,2015-08-12,1706.48,28,880,7.65217,15,895,23.12849,0,874.75234,217,21.0628,A1
714291,"Bird,Cat,Dog,Fish,Reptile",4,False,44,2018-01-07,2015-09-03,1870.05,18,857,19.47727,16,873,9.07216,5,348.08473,105,98.40909,A2
1275845,"Bird,Cat,Dog,Wild Bird",4,False,150,2018-01-07,2016-01-29,2070.03,31,709,4.72667,16,725,37.24138,2,458.5313,65,-16.75926,A2
1283369,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,36,2017-12-27,2015-08-03,1455.72,26,877,24.36111,27,904,7.16814,8,778.2186,14,262.71605,A1
130137,"Bird,Cat,Dog,Wild Bird",4,False,119,2017-12-08,2015-07-31,891.76,19,861,7.23529,46,907,23.61632,0,334.49696,9005,-19.54715,A2
1309122,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,91,2018-01-02,2015-07-31,3222.75,17,886,9.73626,21,907,18.05954,10,1749.98102,234,-5.86691,A1
5689864,"Bird,Cat,Dog,Fish",4,False,65,2018-01-12,2015-08-20,2841.25,17,876,13.47692,11,887,13.19053,4,991.4759,4055,28.88034,A1
5744607,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,67,2018-01-02,2015-08-22,2390.32,19,864,12.89552,21,885,13.62712,3,1263.717,97,39.42786,A1
5793114,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,100,2017-12-27,2016-06-13,2360.74,39,562,5.62,27,589,30.56027,9,947.17,66,27.61667,A1
5818350,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,89,2018-01-07,2015-08-14,3429.1,23,877,9.85393,16,893,17.93953,28,584.9837,49,28.20849,A2
5869011,"Bird,Cat,Dog,Reptile,Small Animal",4,False,36,2018-01-13,2017-02-24,1493.81,23,323,8.97222,10,333,19.45946,5,647.33,152,18.19444,A1
5914037,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,180,2017-12-21,2016-09-11,3623.51,17,466,2.58889,33,499,64.92986,31,1530.25,219,-73.8179,A1
4070804,"Bird,Cat,Dog,Wild Bird",4,False,44,2018-01-11,2017-01-15,1499.71,22,361,8.20455,12,373,21.23324,7,494.05,134,3.61111,A1
4070913,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,46,2018-01-13,2015-08-02,1204.52,16,895,19.45652,10,905,9.14917,18,322.2966,86,74.87923,A2
4214972,"Bird,Cat,Dog,Small Animal",4,False,117,2018-01-04,2015-07-28,4752.35,22,891,7.61538,19,910,23.14286,11,1833.8845,54,-4.93827,A1
4221158,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,113,2018-01-02,2015-07-27,1919.66,40,890,7.87611,21,911,22.32711,10,975.02,4100,79.15438,A1
42324,"Bird,Cat,Dog,Wild Bird",4,False,111,2018-01-11,2015-07-30,3662.36,22,896,8.07207,12,908,22.00441,13,733.7687,9040,-0.02002,A1
4275679,"Dog,Fish,Reptile,Small Animal",5,False,49,2018-01-05,2015-10-07,1729.42,16,821,16.7551,18,839,10.51251,2,644.98,8038,52.19955,A1
428016,"Cat,Dog,Reptile,Wild Bird",4,False,101,2018-01-12,2015-07-29,10897.43,33,898,8.89109,11,909,20.0,25,2481.7421,83,65.0,A1
4290670,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,114,2018-01-09,2015-08-19,3849.29,26,874,7.66667,14,888,23.10811,1,1832.5912,7014,12.51462,A1
4343296,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,125,2018-01-10,2015-09-01,5211.33,38,862,6.896,13,875,25.71429,6,1267.324,208,47.77778,A1
4369331,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,104,2018-01-11,2015-07-26,3198.34,20,900,8.65385,12,912,20.52632,3,1595.838,29,-2.5641,A1
2625862,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,294,2017-12-26,2015-08-04,7767.97,43,875,2.97619,28,903,58.60465,30,2523.4462,165,-26.62698,A1
2695506,"Bird,Cat,Dog,Reptile",4,False,53,2018-01-13,2016-02-17,2070.07,17,696,13.13208,10,706,13.51275,0,778.11286,9032,25.80713,A1
2705765,"Bird,Cat,Dog,Fish,Reptile",4,False,39,2017-12-20,2016-10-21,1248.94,26,425,10.89744,34,459,15.29412,15,758.95,101,70.0,A1
2784901,"Cat,Dog,Reptile,Wild Bird",4,False,86,2018-01-05,2015-08-03,1874.48,16,886,10.30233,18,904,17.12389,13,498.56138,140,-6.56331,A2
2793867,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,70,2018-01-11,2015-08-04,2038.23,16,891,12.72857,12,903,13.95349,19,491.44685,114,14.66667,A2
2880748,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,77,2017-12-29,2015-08-03,3003.04,35,879,11.41558,25,904,15.33186,8,1160.48017,8016,128.28283,A1
7429046,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,29,2018-01-13,2016-11-02,1072.92,16,437,15.06897,10,447,11.67785,0,459.56,8048,37.01149,A1
7488262,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,29,2017-12-22,2016-08-14,546.48,19,495,17.06897,32,527,9.90512,4,250.32977,4021,91.81992,A2
7528103,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,93,2018-01-09,2015-08-16,4711.76,25,877,9.43011,14,891,18.78788,6,2016.79219,3,33.06452,A1
7584907,"Bird,Dog,Fish",5,False,53,2018-01-08,2017-01-22,1152.85,23,351,6.62264,15,366,26.06557,6,410.2,208,-11.76101,A1
7589990,"Bird,Wild Bird",5,False,32,2018-01-13,2017-03-07,104.9,19,312,9.75,10,322,17.8882,0,54.28,45,6.21528,A2
7778269,"Cat,Dog,Fish,Wild Bird",4,False,34,2018-01-05,2017-06-03,482.13,23,216,6.35294,18,234,26.15385,6,127.68,9028,-12.05882,A2
1494929,"Cat,Reptile",5,False,23,2018-01-07,2016-11-08,49.79,16,425,18.47826,16,441,9.38776,0,25.28,4023,70.43478,A3
1503540,"Cat,Dog,Fish,Wild Bird",4,False,79,2018-01-09,2015-07-31,3757.06,21,893,11.3038,14,907,15.67806,32,686.4472,60,33.94515,A1
1537440,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,122,2018-01-11,2015-07-27,3794.19,23,899,7.36885,12,911,24.10538,5,1425.27366,32,-4.58561,A1
1557872,"Bird,Fish,Small Animal",5,False,25,2017-12-27,2015-10-03,458.73,16,816,32.64,27,843,5.33808,0,242.17,120,199.73333,A2
1567922,"Cat,Dog,Small Animal,Wild Bird",4,False,133,2018-01-08,2015-07-28,3943.31,22,895,6.72932,15,910,26.30769,29,773.8309,9034,-16.37427,A1
1576492,"Cat,Dog,Fish,Wild Bird",4,False,99,2017-12-31,2015-08-05,5352.38,18,879,8.87879,23,902,19.7561,4,1639.6417,97,-8.88889,A1
1643262,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,121,2018-01-06,2015-07-26,8094.87,22,895,7.39669,17,912,23.88158,8,2680.8594,123,-7.87879,A1
596162,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,103,2018-01-13,2015-07-26,1245.77,48,902,8.75728,10,912,20.32895,41,293.2019,9072,136.1165,A2
6030632,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,85,2018-01-06,2015-07-31,2534.91,18,890,10.47059,17,907,16.8688,1,715.04155,2,6.70588,A1
6032393,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,101,2017-11-24,2015-08-23,3094.82,16,824,8.15842,60,884,20.56561,9,1319.17679,16,-22.20022,A1
6069741,"Bird,Cat,Dog,Wild Bird",4,False,95,2018-01-13,2015-07-31,5477.58,16,897,9.44211,10,907,18.85336,4,2102.40942,114,-15.1345,A1
6091830,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,30,2018-01-13,2016-07-30,1074.69,29,532,17.73333,10,542,9.9631,14,157.98005,65,191.07407,A2
6168624,"Bird,Cat,Dog,Reptile,Wild Bird",4,False,48,2018-01-09,2016-03-28,1288.37,24,652,13.58333,14,666,12.97297,13,432.7658,7008,85.0,A2
6203018,"Bird,Cat,Dog,Reptile,Small Animal",4,False,19,2018-01-10,2017-06-26,533.48,17,198,10.42105,13,211,16.20853,4,231.84,4087,4.88304,A1
6214351,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,97,2018-01-06,2015-07-27,3992.05,30,894,9.21649,17,911,19.16575,8,1330.9167,8016,56.52921,A1
6278061,"Cat,Fish,Reptile,Small Animal",5,False,42,2018-01-13,2015-09-10,1503.72,17,856,20.38095,10,866,8.72979,4,565.5345,20,94.73545,A2
4475789,"Cat,Dog,Fish,Wild Bird",4,False,147,2018-01-11,2015-07-31,2919.21,24,895,6.08844,12,907,29.1731,3,876.27558,4113,-17.73243,A1
4481248,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,129,2018-01-05,2015-07-27,5365.49,16,893,6.92248,18,911,25.48847,20,1170.1785,98,-37.22653,A1
4495550,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,98,2017-12-31,2015-07-27,1433.53,28,888,9.06122,23,911,19.36334,2,546.91953,1,44.60317,A2
4536054,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,159,2018-01-11,2015-12-13,6334.78,47,760,4.77987,12,772,37.07254,4,3412.7361,194,26.77848,A1
4578143,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,185,2018-01-10,2015-07-29,8229.13,53,896,4.84324,13,909,36.63366,48,1718.38867,117,44.67568,A1
4586932,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,30,2017-11-07,2015-10-10,1806.12,19,759,25.3,77,836,6.45933,1,996.7044,4114,194.14815,A1
4588198,"Cat,Dog,Small Animal,Wild Bird",4,False,83,2018-01-13,2015-09-05,3260.0,31,861,10.37349,10,871,17.1527,36,229.6288,8058,80.72959,A2
4591421,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,119,2018-01-12,2015-07-31,7587.12,20,896,7.52941,11,907,23.61632,4,3559.0669,9020,-15.31279,A1
7854141,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,57,2017-12-28,2017-06-17,1818.01,37,194,3.40351,26,220,46.63636,4,756.77,4070,-20.66277,A1
7971188,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,35,2017-12-22,2017-08-21,667.7,35,123,3.51429,32,155,40.64516,7,310.7,4055,-13.88889,A1
7986223,"Dog,Fish,Reptile,Small Animal",5,False,23,2017-12-24,2017-06-22,155.11,22,185,8.04348,30,215,19.25581,1,95.73,172,14.25121,A2
8022804,"Bird,Dog,Fish,Reptile,Small Animal",5,False,20,2017-12-27,2017-07-02,504.82,19,178,8.9,27,205,17.56098,1,291.86,4059,8.19444,A1
8103191,"Cat,Reptile",5,False,25,2018-01-12,2017-07-24,53.98,24,172,6.88,11,183,24.59016,0,49.28,20,-2.4,A2
821040,"Bird,Cat,Dog,Reptile,Wild Bird",4,False,56,2018-01-07,2016-08-07,2019.98,26,518,9.25,16,534,18.8764,11,508.1793,163,37.7381,A1
8583359,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,200,2017-12-31,2015-09-28,4076.6,25,825,4.125,23,848,42.45283,28,1290.87206,4100,-41.11111,A1
8589019,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,55,2018-01-11,2017-08-02,1138.38,55,162,2.94545,12,174,56.89655,30,343.54,51,-3.33333,A1
861948,"Cat,Dog,Small Animal,Wild Bird",4,False,85,2018-01-05,2015-07-29,4648.2,18,891,10.48235,18,909,16.83168,12,830.4946,19,6.94118,A1
1690148,"Bird,Cat,Dog,Wild Bird",4,False,93,2018-01-13,2015-08-03,2114.78,33,894,9.6129,10,904,18.5177,2,800.53188,44,78.20789,A1
1710934,"Bird,Cat,Dog,Small Animal",4,False,72,2018-01-11,2015-08-06,3317.5,29,889,12.34722,12,901,14.38402,14,901.93353,180,101.61265,A1
1741395,"Cat,Dog,Reptile,Wild Bird",4,False,52,2017-12-17,2015-08-12,2245.99,17,858,16.5,37,895,10.4581,0,455.5437,8055,62.55342,A2
1760893,"Cat,Dog,Reptile,Wild Bird",4,False,122,2018-01-05,2015-09-10,2892.69,26,848,6.95082,18,866,25.35797,1,1065.8025,9050,2.53188,A1
1788760,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,150,2017-12-31,2015-08-02,2982.1,20,882,5.88,23,905,29.83425,7,526.0434,119,-32.96296,A2
1802445,"Dog,Fish,Reptile,Small Animal,Wild Bird",5,False,56,2017-12-20,2015-07-30,2288.46,17,874,15.60714,34,908,11.10132,33,654.26626,9003,53.13492,A1
18137,"Bird,Dog,Reptile",5,False,39,2017-12-29,2017-03-23,342.83,36,281,7.20513,25,306,22.94118,0,257.6,9040,56.92308,A1
1823574,"Cat,Dog,Small Animal,Wild Bird",4,False,80,2018-01-03,2015-08-03,3147.8,18,884,11.05,20,904,15.9292,2,1077.77272,121,13.0,A1
1827865,"Dog,Reptile,Small Animal",5,False,35,2017-12-14,2015-07-29,842.85,16,869,24.82857,40,909,6.93069,1,412.03142,212,130.85714,A2
1906083,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,126,2018-01-06,2015-08-03,3921.17,16,887,7.03968,17,904,25.0885,5,1364.0465,219,-36.22575,A1
1912095,"Bird,Cat,Dog,Wild Bird",4,False,77,2018-01-03,2015-08-11,3749.54,24,876,11.37662,20,896,15.46875,4,958.7892,188,55.15152,A1
2004402,"Bird,Cat,Dog,Fish,Small Animal",4,False,72,2018-01-11,2015-08-10,2237.7,17,885,12.29167,12,897,14.44816,1,856.69161,28,17.66204,A1
6287944,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,171,2018-01-12,2015-07-29,1990.91,36,898,5.25146,11,909,33.86139,10,668.94129,224,6.31579,A1
6292984,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,169,2018-01-13,2016-11-12,2941.51,61,427,2.52663,10,437,69.61098,40,989.86,108,-12.37015,A1
6300026,"Dog,Fish,Reptile,Small Animal",5,False,41,2018-01-08,2015-08-12,1313.5,19,880,21.46341,15,895,8.24581,4,513.3399,9016,130.42005,A2
631596,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,82,2017-12-09,2015-07-28,3338.88,16,865,10.54878,45,910,16.21978,26,754.5322,120,-1.35501,A1
634062,"Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,93,2018-01-11,2015-08-04,1770.84,29,891,9.58065,12,903,18.53821,1,852.61649,4116,56.43369,A1
2915734,"Bird,Cat,Dog,Fish",4,False,134,2018-01-13,2015-07-30,3459.03,26,898,6.70149,10,908,26.56388,5,1391.3256,108,-2.12272,A1
2941279,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,64,2018-01-05,2015-08-02,2209.33,17,887,13.85938,18,905,12.72928,1,643.01236,59,33.55035,A1
643344,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,77,2017-12-10,2015-07-31,2097.42,16,863,11.20779,44,907,15.28115,9,844.51207,114,4.70418,A1
6474485,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,58,2018-01-08,2016-12-10,914.35,21,394,6.7931,15,409,25.52567,15,279.24,221,-17.72989,A2
6480595,"Dog,Reptile,Wild Bird",5,False,28,2017-12-30,2017-03-04,849.38,16,301,10.75,24,325,15.50769,1,220.46,7012,3.1746,A1
648194,"Cat,Dog,Small Animal,Wild Bird",4,False,95,2018-01-06,2015-08-02,5465.69,27,888,9.34737,17,905,18.89503,40,254.8627,38,42.89474,A2
3041117,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,61,2018-01-10,2015-07-29,1472.14,16,896,14.68852,13,909,12.07921,1,372.49231,72,32.45902,A2
3047626,"Cat,Dog,Fish,Wild Bird",4,False,135,2018-01-10,2015-08-14,9088.24,47,880,6.51852,13,893,27.21165,35,3818.59934,215,72.72016,A1
307172,"Bird,Cat,Dog,Small Animal",4,False,115,2018-01-11,2015-07-29,2692.52,21,897,7.8,12,909,22.77228,6,1099.45149,27,-7.78261,A1
3088161,"Cat,Dog,Small Animal,Wild Bird",4,False,80,2018-01-13,2015-08-04,1480.66,18,893,11.1625,10,903,15.94684,6,872.7541,179,12.875,A1
3106435,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,181,2018-01-09,2015-07-26,10384.81,27,898,4.96133,14,912,35.72368,46,3255.6739,181,-24.41989,A1
4699032,"Bird,Cat,Dog,Small Animal",4,False,133,2018-01-13,2015-08-07,5756.64,27,890,6.69173,10,900,26.6,19,1608.5347,9028,1.50376,A1
4781371,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,66,2017-12-29,2015-08-02,1951.62,21,880,13.33333,25,905,13.12707,0,721.38241,44,59.97475,A1
4799578,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,126,2018-01-02,2015-07-30,5653.99,23,887,7.03968,21,908,24.97797,4,1819.36126,13,-7.91887,A1
4943016,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,240,2018-01-09,2015-07-30,11779.11,57,894,3.725,14,908,47.57709,46,4854.9617,225,19.80556,A1
4947453,"Bird,Cat,Dog,Fish,Reptile,Wild Bird",4,False,70,2018-01-08,2015-07-29,3091.86,16,894,12.77143,15,909,13.86139,3,1041.1953,68,15.42857,A1
2036430,"Cat,Wild Bird",5,False,60,2018-01-12,2015-08-02,1438.01,18,894,14.9,11,905,11.9337,6,431.24053,41,50.83333,A2
2073883,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,127,2017-12-30,2015-07-28,2966.91,22,886,6.97638,24,910,25.12088,7,1053.2108,206,-12.42345,A1
2081197,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,136,2018-01-11,2015-10-16,3003.13,73,818,6.01471,12,830,29.49398,14,1193.73589,8032,147.50817,A1
